repo_name,labels,count
ggerganov/llama.cpp,bug-unconfirmed,62
ggerganov/llama.cpp,enhancement,11
ggerganov/llama.cpp,bug,3
ggerganov/llama.cpp,research 🔬,1
ggerganov/llama.cpp,"bug, Vulkan",1
huggingface/transformers,bug,18
huggingface/transformers,New model,2
huggingface/transformers,Feature request,2
huggingface/transformers,"bug, Code agent slop",1
huggingface/transformers,WIP,1
huggingface/transformers,Code agent slop,1
langchain-ai/langchain,external,24
langchain-ai/langchain,"core, external",9
langchain-ai/langchain,"bug, langchain, external",4
langchain-ai/langchain,"bug, anthropic, external",4
langchain-ai/langchain,"bug, core, external",3
langchain-ai/langchain,"langchain, external",2
langchain-ai/langchain,internal,2
langchain-ai/langchain,"feature request, external",2
langchain-ai/langchain,"bug, mistralai, external",2
langchain-ai/langchain,"bug, langchain, openai, external",2
langchain-ai/langchain,"langchain, feature request, external",1
langchain-ai/langchain,"langchain, feature request, chroma, huggingface, external",1
langchain-ai/langchain,"feature request, anthropic, external",1
langchain-ai/langchain,"core, feature request, external",1
langchain-ai/langchain,"bug, text-splitters, external",1
langchain-ai/langchain,"bug, qdrant, external",1
langchain-ai/langchain,"bug, huggingface, external",1
langchain-ai/langchain,"bug, fireworks, external",1
langchain-ai/langchain,"bug, external, openrouter",1
langchain-ai/langchain,"bug, chroma, external",1
langchain-ai/langchain,"anthropic, external",1
ollama/ollama,bug,57
ollama/ollama,feature request,19
ollama/ollama,"bug, needs more info",12
ollama/ollama,cloud,3
ollama/ollama,model,2
ollama/ollama,"feature request, ollama.com",2
ollama/ollama,needs more info,1
ollama/ollama,"model, cloud",1
ollama/ollama,"feature request, intel",1
ollama/ollama,"feature request, cloud",1
ollama/ollama,"feature request, cli",1
ollama/ollama,"feature request, build",1
ollama/ollama,"feature request, app",1
ollama/ollama,"bug, performance, cloud",1
ollama/ollama,"bug, app",1
run-llama/llama_index,"bug, triage",29
run-llama/llama_index,"enhancement, triage",5
run-llama/llama_index,question,2
